categories_list,FinanceSub,CapitalSub,ProcurementSub,LegalSub,ManufacturingSub,MarketingSub,MentoringSub,NetworkingSub,PlanningSub,RDSub,RegulatorySub,SpaceSub,HRSub,industries_list,communities_list
"Legal Services,Marketing/Sales,Networking,Mentoring/Counseling","","","","Contract Review,International Regulatory Compliance,Patent, Trademark, & Copyright Information,Registration, Licenses, & Permits","","Bid Matching and Preparation,E-Commerce/Internet Marketing,Feasibility Studies,Identification/Research of Foreign Markets,Market Plan Development and Training,Market Research,Trade Education and Training,Website Development","",Small Business/General,"","","","","","Agriculture,Biosciences Services and Manufacturing,Health & Childcare,Information Technology,Other Services,Personal Services,Real Estate","African American,Woman"
"Legal Services,Marketing/Sales,Networking,Mentoring/Counseling","","","",International Regulatory Compliance,"","Competitive Analysis,Graphic Design,Market Plan Development and Training,Selling to Foreign Governments and Businesses,Subcontracting Opportunities,Trade Education and Training",One-to-One Counseling,"","","","","","","Biosciences Services and Manufacturing,Construction,Fiance & Insurance,Health & Childcare,Not for Profit,Other Services,Personal Services,Real Estate,Wholesale","Asian,Hispanic,LGBTQ,Other,Veteran,Ex-Convict,NOT TARGETED"
"Legal Services,Marketing/Sales,Networking,Mentoring/Counseling","","","","Government Requirements,Insurance Requirements,Registration, Licenses, & Permits,Tax Credits","","Locating Foreign Distributors,Networking/Exploring Exporting,Obtaining Government Contracts,Subcontracting Opportunities,Trade Education and Training,Website Development","Formal Mentoring Programs,One-to-One Counseling","Geographically Based,Small Business/General","","","","","","Arts,Energy & Utilities,Fiance & Insurance,Information Technology,Other Services,Tourism","Immigrant,LGBTQ,Other,Veteran,NOT TARGETED"
"Legal Services,Marketing/Sales,Networking,Mentoring/Counseling","","","","Environmental Compliance,Insurance Requirements,Lease Review,Patent, Trademark, & Copyright Information","","Graphic Design,HUBZone Certification,Identification/Research of Foreign Markets,Market Research,Website Development","","Geographically Based,Small Business/General","","","","","","Energy & Utilities,High Tech Services & Manufacturing,Not for Profit,Other Services,Real Estate","African American,Asian,Other"
"Legal Services,Marketing/Sales,Networking,Mentoring/Counseling","","","","International Regulatory Compliance,Lease Review,Registration, Licenses, & Permits,State and Federal Tax Training and Registration,Tax Credits","","Bid Matching and Preparation,Feasibility Studies,Graphic Design,Identification/Research of Foreign Markets,International Trade Training",One-to-One Counseling,"Demographically Based,Small Business/General","","","","","","Arts,Biosciences Services and Manufacturing,Education,High Tech Services & Manufacturing,Information Technology,Management,Personal Services,Professional Services,Real Estate,Wholesale","African American,LGBTQ"
"Legal Services,Marketing/Sales,Networking,Mentoring/Counseling","","","","Environmental Compliance,Lease Review,Patent, Trademark, & Copyright Information,Registration, Licenses, & Permits,State and Federal Tax Training and Registration","","Graphic Design,Networking/Exploring Exporting,Selling to Foreign Governments and Businesses","","Demographically Based,Geographically Based","","","","","","Agriculture,Arts,Biosciences Services and Manufacturing,Construction,Health & Childcare,Management,Other Services,Personal Services,Professional Services,Restaurant & Hotel,Tourism","Asian,Hispanic"
"Legal Services,Marketing/Sales,Networking,Mentoring/Counseling","","","","Contract Review,International Regulatory Compliance,Lease Review,Registration, Licenses, & Permits","","E-Commerce/Internet Marketing,Graphic Design,Networking/Exploring Exporting,Student Research/Marketing Projects,Trade Education and Training,Website Development",Peer Mentoring,Networking/Exploring Exporting,"","","","","","Agriculture,Arts,Biosciences Services and Manufacturing,Construction,Management,Tourism,Transportation & Warehousing,Wholesale","Immigrant,Other,NOT TARGETED"
"Legal Services,Marketing/Sales,Networking,Mentoring/Counseling","","","",Environmental Compliance,"","Competitive Analysis,Feasibility Studies,HUBZone Certification,International Trade Training,Locating Foreign Distributors,Market Plan Development and Training,Networking/Exploring Exporting,Subcontracting Opportunities,Trade Education and Training",One-to-One Counseling,"Demographically Based,Small Business/General","","","","","","Agriculture,Biosciences Services and Manufacturing,Management,Manufacturing,Other Services,Personal Services,Restaurant & Hotel,Retail,Wholesale","African American,Asian,Other"
"Legal Services,Marketing/Sales,Networking,Mentoring/Counseling","","","","Environmental Compliance,International Regulatory Compliance,Lease Review,Patent, Trademark, & Copyright Information,Registration, Licenses, & Permits,Tax Credits","","HUBZone Certification,Market Plan Development and Training,Market Research,Obtaining Corporate Contracts,Selling to Foreign Governments and Businesses,Trade Education and Training",Peer Mentoring,"","","","","","","Education,Not for Profit,Professional Services,Real Estate,Tourism","African American,Hispanic,Woman"
"Legal Services,Marketing/Sales,Networking,Mentoring/Counseling","","","","Forming a Business,Patent, Trademark, & Copyright Information,Registration, Licenses, & Permits","","Bid Matching and Preparation,Call Center Services,Feasibility Studies,Graphic Design,HUBZone Certification,Identification/Research of Foreign Markets,Obtaining Government Contracts,Subcontracting Opportunities",Formal Mentoring Programs,Networking/Exploring Exporting,"","","","","","Agriculture,Arts,Construction,Fiance & Insurance,Information Technology,Management,Manufacturing,Other Services,Personal Services,Restaurant & Hotel,Retail,Transportation & Warehousing","Hispanic,Native American,Other,Woman"
"Legal Services,Marketing/Sales,Networking,Mentoring/Counseling","","","","Environmental Compliance,Forming a Business,Government Requirements,Lease Review,Registration, Licenses, & Permits,Tax Credits","","Call Center Services,Feasibility Studies,HUBZone Certification,Import/Export Certification and Licensing,International Trade Training,Locating Foreign Distributors,Market Research,Networking/Exploring Exporting,Selling to Foreign Governments and Businesses,Student Research/Marketing Projects,Subcontracting Opportunities,Website Development",One-to-One Counseling,"Geographically Based,Small Business/General","","","","","","Biosciences Services and Manufacturing,High Tech Services & Manufacturing,Management,Manufacturing,Not for Profit,Restaurant & Hotel,Tourism","African American,Hispanic,Woman"
"Legal Services,Marketing/Sales,Networking,Mentoring/Counseling","","","","Environmental Compliance,Lease Review,State and Federal Tax Training and Registration","","Competitive Analysis,Identification/Research of Foreign Markets,Market Research,Obtaining Corporate Contracts,Selling to Foreign Governments and Businesses",Formal Mentoring Programs,"Demographically Based,Geographically Based,Industry Specific","","","","","","Agriculture,Construction,Health & Childcare,High Tech Services & Manufacturing,Tourism","LGBTQ,Veteran,Woman,NOT TARGETED"
"Legal Services,Marketing/Sales,Networking,Mentoring/Counseling","","","","Environmental Compliance,International Regulatory Compliance,Registration, Licenses, & Permits","","E-Commerce/Internet Marketing,Market Plan Development and Training,Market Research,Networking/Exploring Exporting,Obtaining Government Contracts,Student Research/Marketing Projects,Subcontracting Opportunities","One-to-One Counseling,Peer Mentoring",Geographically Based,"","","","","","Education,Energy & Utilities,Fiance & Insurance,Health & Childcare,High Tech Services & Manufacturing,Professional Services,Tourism,Transportation & Warehousing",Woman
"Legal Services,Marketing/Sales,Networking,Mentoring/Counseling","","","","Contract Review,Patent, Trademark, & Copyright Information,State and Federal Tax Training and Registration","","Bid Matching and Preparation,Call Center Services,Competitive Analysis,E-Commerce/Internet Marketing,Graphic Design,HUBZone Certification,International Trade Training,Locating Foreign Distributors,Obtaining Government Contracts,Selling to Foreign Governments and Businesses,Trade Education and Training",Formal Mentoring Programs,"Geographically Based,Industry Specific","","","","","","Agriculture,Education,Information Technology,Management,Not for Profit,Other Services,Personal Services,Tourism","Asian,Immigrant,LGBTQ,Native American,Other,Woman"
"Legal Services,Marketing/Sales,Networking,Mentoring/Counseling","","","","Forming a Business,Government Requirements,International Regulatory Compliance,Lease Review,Registration, Licenses, & Permits,State and Federal Tax Training and Registration","","Graphic Design,Identification/Research of Foreign Markets,Import/Export Certification and Licensing,Obtaining Corporate Contracts,Subcontracting Opportunities,Website Development",Formal Mentoring Programs,Demographically Based,"","","","","","Arts,Education,Fiance & Insurance,Not for Profit,Other Services,Personal Services,Real Estate,Tourism","Immigrant,LGBTQ,Other"
"Legal Services,Marketing/Sales,Networking,Mentoring/Counseling","","","","Forming a Business,Government Requirements,Insurance Requirements,International Regulatory Compliance,Lease Review","","Bid Matching and Preparation,Feasibility Studies,Graphic Design,Locating Foreign Distributors,Market Research,Obtaining Government Contracts,Selling to Foreign Governments and Businesses,Student Research/Marketing Projects,Trade Education and Training",Peer Mentoring,"Demographically Based,Industry Specific,Small Business/General","","","","","","Health & Childcare,Management,Manufacturing,Not for Profit,Professional Services,Real Estate,Restaurant & Hotel,Retail,Transportation & Warehousing,Wholesale","Other,Ex-Convict"
"Legal Services,Marketing/Sales,Networking,Mentoring/Counseling","","","","Contract Review,Forming a Business,Patent, Trademark, & Copyright Information","","Competitive Analysis,Graphic Design,Locating Foreign Distributors,Market Plan Development and Training,Obtaining Corporate Contracts,Website Development","Formal Mentoring Programs,One-to-One Counseling","Industry Specific,Networking/Exploring Exporting","","","","","","Agriculture,Construction,Education,High Tech Services & Manufacturing,Manufacturing,Not for Profit,Retail,Transportation & Warehousing",Veteran
"Legal Services,Marketing/Sales,Networking,Mentoring/Counseling","","","","International Regulatory Compliance,Lease Review","","Bid Matching and Preparation,Call Center Services,E-Commerce/Internet Marketing,HUBZone Certification,Import/Export Certification and Licensing,Obtaining Corporate Contracts,Subcontracting Opportunities,Trade Education and Training","Formal Mentoring Programs,Peer Mentoring",Small Business/General,"","","","","","Construction,Health & Childcare,Manufacturing,Professional Services,Tourism,Wholesale","African American,Hispanic,Immigrant,LGBTQ,Native American,NOT TARGETED"
"Legal Services,Marketing/Sales,Networking,Mentoring/Counseling","","","","Government Requirements,Insurance Requirements,State and Federal Tax Training and Registration,Tax Credits","","Call Center Services,E-Commerce/Internet Marketing,Feasibility Studies,Graphic Design,Networking/Exploring Exporting,Obtaining Corporate Contracts,Obtaining Government Contracts",Formal Mentoring Programs,Geographically Based,"","","","","","Construction,Education,Energy & Utilities,Health & Childcare,Information Technology,Manufacturing,Other Services,Professional Services,Retail,Tourism","African American,Hispanic,Immigrant,Veteran,Woman,Ex-Convict,NOT TARGETED"
"Legal Services,Marketing/Sales,Networking,Mentoring/Counseling","","","","Contract Review,Patent, Trademark, & Copyright Information,Registration, Licenses, & Permits,State and Federal Tax Training and Registration,Tax Credits","","Call Center Services,Competitive Analysis,HUBZone Certification,Locating Foreign Distributors,Market Plan Development and Training,Market Research,Obtaining Government Contracts",Peer Mentoring,"Geographically Based,Industry Specific","","","","","","Agriculture,Biosciences Services and Manufacturing,Fiance & Insurance,Information Technology,Manufacturing,Not for Profit,Other Services,Personal Services,Real Estate,Restaurant & Hotel,Retail,Wholesale",Ex-Convict
"Legal Services,Marketing/Sales,Networking,Mentoring/Counseling","","","","Contract Review,Environmental Compliance,Insurance Requirements,Patent, Trademark, & Copyright Information,Registration, Licenses, & Permits","","Bid Matching and Preparation,Call Center Services,Competitive Analysis,Graphic Design,International Trade Training,Locating Foreign Distributors,Networking/Exploring Exporting,Obtaining Corporate Contracts,Student Research/Marketing Projects,Trade Education and Training","Formal Mentoring Programs,One-to-One Counseling","","","","","","","Biosciences Services and Manufacturing,High Tech Services & Manufacturing,Information Technology,Manufacturing,Not for Profit,Professional Services,Retail","African American,Other,Woman"
"Legal Services,Marketing/Sales,Networking,Mentoring/Counseling","","","","Contract Review,Patent, Trademark, & Copyright Information","","Competitive Analysis,E-Commerce/Internet Marketing,Feasibility Studies,Identification/Research of Foreign Markets,Import/Export Certification and Licensing,Networking/Exploring Exporting,Subcontracting Opportunities","Formal Mentoring Programs,One-to-One Counseling","Demographically Based,Geographically Based","","","","","","Biosciences Services and Manufacturing,Energy & Utilities,Manufacturing,Not for Profit,Personal Services,Restaurant & Hotel,Tourism",African American
"Legal Services,Marketing/Sales,Networking,Mentoring/Counseling","","","","Contract Review,Insurance Requirements,International Regulatory Compliance,Patent, Trademark, & Copyright Information,Registration, Licenses, & Permits","","Call Center Services,Competitive Analysis,International Trade Training,Locating Foreign Distributors,Selling to Foreign Governments and Businesses,Subcontracting Opportunities,Trade Education and Training",One-to-One Counseling,"Geographically Based,Networking/Exploring Exporting","","","","","","Agriculture,Biosciences Services and Manufacturing,Energy & Utilities,Fiance & Insurance,High Tech Services & Manufacturing,Not for Profit,Personal Services,Tourism,Wholesale","Other,Woman"
"Legal Services,Marketing/Sales,Networking,Mentoring/Counseling","","","","Government Requirements,Lease Review,Registration, Licenses, & Permits,State and Federal Tax Training and Registration","","E-Commerce/Internet Marketing,Import/Export Certification and Licensing,Market Research,Obtaining Corporate Contracts,Obtaining Government Contracts,Trade Education and Training","Formal Mentoring Programs,One-to-One Counseling",Industry Specific,"","","","","","Agriculture,Biosciences Services and Manufacturing,Construction,Not for Profit,Other Services,Personal Services,Professional Services,Tourism","Woman,Ex-Convict,NOT TARGETED"
"Legal Services,Marketing/Sales,Networking,Mentoring/Counseling","","","","Forming a Business,Insurance Requirements,Patent, Trademark, & Copyright Information","","HUBZone Certification,Identification/Research of Foreign Markets,International Trade Training,Networking/Exploring Exporting,Obtaining Government Contracts,Subcontracting Opportunities,Website Development","",Demographically Based,"","","","","","Agriculture,Education,Manufacturing,Other Services,Personal Services","Hispanic,Immigrant,LGBTQ,Veteran"
"Legal Services,Marketing/Sales,Networking,Mentoring/Counseling","","","",Government Requirements,"","Market Plan Development and Training,Obtaining Government Contracts,Selling to Foreign Governments and Businesses","Formal Mentoring Programs,Peer Mentoring","Geographically Based,Industry Specific,Small Business/General","","","","","","Education,Fiance & Insurance,Information Technology,Manufacturing,Personal Services,Restaurant & Hotel,Wholesale","Asian,Other"
"Legal Services,Marketing/Sales,Networking,Mentoring/Counseling","","","","International Regulatory Compliance,Tax Credits","","Graphic Design,Subcontracting Opportunities,Website Development",One-to-One Counseling,"Geographically Based,Networking/Exploring Exporting","","","","","","Not for Profit,Restaurant & Hotel,Retail,Wholesale","Hispanic,Other,Ex-Convict,NOT TARGETED"
"Legal Services,Marketing/Sales,Networking,Mentoring/Counseling","","","","Forming a Business,Insurance Requirements,State and Federal Tax Training and Registration","","E-Commerce/Internet Marketing,Graphic Design,Identification/Research of Foreign Markets,Locating Foreign Distributors,Market Research,Networking/Exploring Exporting,Student Research/Marketing Projects","Formal Mentoring Programs,Peer Mentoring",Demographically Based,"","","","","","Construction,Energy & Utilities,High Tech Services & Manufacturing,Management,Manufacturing,Other Services,Personal Services,Retail,Tourism,Transportation & Warehousing","Hispanic,Veteran,Ex-Convict,NOT TARGETED"
"Legal Services,Marketing/Sales,Networking,Mentoring/Counseling","","","","Contract Review,Forming a Business,State and Federal Tax Training and Registration","","Competitive Analysis,Identification/Research of Foreign Markets,Import/Export Certification and Licensing,International Trade Training,Locating Foreign Distributors,Networking/Exploring Exporting,Student Research/Marketing Projects,Trade Education and Training,Website Development",Formal Mentoring Programs,"","","","","","","Biosciences Services and Manufacturing,Fiance & Insurance,Information Technology,Management,Other Services,Restaurant & Hotel","Hispanic,Immigrant,LGBTQ,Native American,Veteran,Ex-Convict"
"Legal Services,Marketing/Sales,Networking,Mentoring/Counseling","","","","Insurance Requirements,International Regulatory Compliance,Patent, Trademark, & Copyright Information,Registration, Licenses, & Permits","","Bid Matching and Preparation,Competitive Analysis,E-Commerce/Internet Marketing,Feasibility Studies,HUBZone Certification,Locating Foreign Distributors,Obtaining Corporate Contracts,Selling to Foreign Governments and Businesses,Student Research/Marketing Projects","One-to-One Counseling,Peer Mentoring","Demographically Based,Industry Specific","","","","","","Arts,High Tech Services & Manufacturing,Information Technology,Not for Profit,Other Services,Professional Services,Restaurant & Hotel,Retail,Transportation & Warehousing","African American,Asian,Hispanic,Native American"
"Legal Services,Marketing/Sales,Networking,Mentoring/Counseling","","","","Patent, Trademark, & Copyright Information","","Competitive Analysis,E-Commerce/Internet Marketing,Feasibility Studies,Identification/Research of Foreign Markets,Networking/Exploring Exporting,Trade Education and Training,Website Development",Formal Mentoring Programs,"Industry Specific,Networking/Exploring Exporting,Small Business/General","","","","","","Agriculture,Arts,Biosciences Services and Manufacturing,Construction,Information Technology,Personal Services,Wholesale","African American,Other,Ex-Convict,NOT TARGETED"
"Legal Services,Marketing/Sales,Networking,Mentoring/Counseling","","","",Government Requirements,"","Competitive Analysis,Feasibility Studies,HUBZone Certification,Networking/Exploring Exporting,Obtaining Corporate Contracts,Student Research/Marketing Projects","Formal Mentoring Programs,One-to-One Counseling","Networking/Exploring Exporting,Small Business/General","","","","","","Agriculture,Arts,Biosciences Services and Manufacturing,Construction,Health & Childcare,High Tech Services & Manufacturing,Retail,Transportation & Warehousing,Wholesale","Immigrant,NOT TARGETED"
"Legal Services,Marketing/Sales,Networking,Mentoring/Counseling","","","","Insurance Requirements,Registration, Licenses, & Permits","","Competitive Analysis,E-Commerce/Internet Marketing,Feasibility Studies,Graphic Design,International Trade Training,Locating Foreign Distributors,Obtaining Corporate Contracts,Obtaining Government Contracts","","","","","","","","Biosciences Services and Manufacturing,Construction,Restaurant & Hotel,Retail,Tourism,Transportation & Warehousing","Asian,Hispanic,Other,Ex-Convict"
"Legal Services,Marketing/Sales,Networking,Mentoring/Counseling","","","","Contract Review,Government Requirements,International Regulatory Compliance,Lease Review","","Identification/Research of Foreign Markets,Locating Foreign Distributors,Market Research,Student Research/Marketing Projects,Subcontracting Opportunities,Website Development",Formal Mentoring Programs,"Demographically Based,Geographically Based,Industry Specific","","","","","","Agriculture,Arts,Biosciences Services and Manufacturing,Construction,Not for Profit,Personal Services,Professional Services,Tourism","Native American,Ex-Convict,NOT TARGETED"
"Legal Services,Marketing/Sales,Networking,Mentoring/Counseling","","","","Forming a Business,Insurance Requirements,Tax Credits","","Bid Matching and Preparation,Call Center Services,Identification/Research of Foreign Markets,Import/Export Certification and Licensing,Locating Foreign Distributors,Market Research,Networking/Exploring Exporting,Obtaining Corporate Contracts,Selling to Foreign Governments and Businesses,Student Research/Marketing Projects,Subcontracting Opportunities,Website Development","One-to-One Counseling,Peer Mentoring","","","","","","","Arts,Biosciences Services and Manufacturing,High Tech Services & Manufacturing,Not for Profit,Restaurant & Hotel,Wholesale","African American,Asian,Hispanic,Veteran"
"Legal Services,Marketing/Sales,Networking,Mentoring/Counseling","","","","Environmental Compliance,Government Requirements,International Regulatory Compliance,Registration, Licenses, & Permits,Tax Credits","","Bid Matching and Preparation,Graphic Design,International Trade Training,Locating Foreign Distributors,Market Research,Networking/Exploring Exporting,Obtaining Government Contracts,Selling to Foreign Governments and Businesses,Trade Education and Training,Website Development",Formal Mentoring Programs,Industry Specific,"","","","","","Agriculture,Construction,Energy & Utilities,Fiance & Insurance,Health & Childcare,Personal Services,Real Estate,Restaurant & Hotel,Retail,Tourism,Transportation & Warehousing","Immigrant,Veteran"
"Legal Services,Marketing/Sales,Networking,Mentoring/Counseling","","","","Environmental Compliance,International Regulatory Compliance,Registration, Licenses, & Permits","","Graphic Design,Identification/Research of Foreign Markets,Locating Foreign Distributors,Market Research,Obtaining Corporate Contracts","","","","","","","","Arts,Fiance & Insurance,High Tech Services & Manufacturing,Information Technology,Management,Manufacturing,Retail,Wholesale","African American,Hispanic,LGBTQ,Native American,Other,Veteran,Woman"
"Legal Services,Marketing/Sales,Networking,Mentoring/Counseling","","","","Contract Review,Lease Review","","Call Center Services,Competitive Analysis,Identification/Research of Foreign Markets,International Trade Training,Locating Foreign Distributors,Obtaining Government Contracts,Subcontracting Opportunities,Trade Education and Training,Website Development","One-to-One Counseling,Peer Mentoring","Demographically Based,Industry Specific","","","","","","Agriculture,Biosciences Services and Manufacturing,Construction,Energy & Utilities","African American,Asian,Other"
"Legal Services,Marketing/Sales,Networking,Mentoring/Counseling","","","","Government Requirements,Patent, Trademark, & Copyright Information,Registration, Licenses, & Permits,Tax Credits","","Competitive Analysis,E-Commerce/Internet Marketing,Feasibility Studies,HUBZone Certification,Identification/Research of Foreign Markets,Import/Export Certification and Licensing,Networking/Exploring Exporting,Obtaining Government Contracts",Peer Mentoring,"","","","","","","Arts,Construction,Energy & Utilities,Fiance & Insurance,High Tech Services & Manufacturing,Personal Services,Restaurant & Hotel,Wholesale","Native American,Other,Ex-Convict"
"Legal Services,Marketing/Sales,Networking,Mentoring/Counseling","","","","Government Requirements,Insurance Requirements,Registration, Licenses, & Permits,Tax Credits","","Graphic Design,Import/Export Certification and Licensing,International Trade Training,Market Research,Networking/Exploring Exporting,Obtaining Corporate Contracts,Obtaining Government Contracts,Trade Education and Training","",Demographically Based,"","","","","","Fiance & Insurance,Restaurant & Hotel,Tourism","Asian,Hispanic,Immigrant,Native American,Ex-Convict"
"Legal Services,Marketing/Sales,Networking,Mentoring/Counseling","","","","Government Requirements,Lease Review,State and Federal Tax Training and Registration","","Call Center Services,Competitive Analysis,E-Commerce/Internet Marketing,HUBZone Certification,International Trade Training,Market Plan Development and Training,Obtaining Corporate Contracts,Obtaining Government Contracts,Selling to Foreign Governments and Businesses,Student Research/Marketing Projects,Website Development","",Networking/Exploring Exporting,"","","","","","Agriculture,Biosciences Services and Manufacturing,Construction,Education,Fiance & Insurance,Information Technology,Tourism,Transportation & Warehousing","Hispanic,LGBTQ"
"Legal Services,Marketing/Sales,Networking,Mentoring/Counseling","","","",Insurance Requirements,"","Bid Matching and Preparation,Competitive Analysis,Locating Foreign Distributors,Market Plan Development and Training,Market Research,Obtaining Corporate Contracts,Selling to Foreign Governments and Businesses,Subcontracting Opportunities,Website Development",Peer Mentoring,"Industry Specific,Small Business/General","","","","","","Agriculture,Energy & Utilities,High Tech Services & Manufacturing,Management,Other Services,Real Estate,Restaurant & Hotel","Asian,LGBTQ"
"Legal Services,Marketing/Sales,Networking,Mentoring/Counseling","","","","Contract Review,Government Requirements,Insurance Requirements,Lease Review,Tax Credits","","Call Center Services,E-Commerce/Internet Marketing,Locating Foreign Distributors,Market Plan Development and Training,Market Research,Networking/Exploring Exporting,Student Research/Marketing Projects","Formal Mentoring Programs,One-to-One Counseling",Networking/Exploring Exporting,"","","","","","Arts,Education,Personal Services,Professional Services,Real Estate,Retail,Transportation & Warehousing,Wholesale","African American,Asian,Woman,NOT TARGETED"
"Legal Services,Marketing/Sales,Networking,Mentoring/Counseling","","","","Government Requirements,Insurance Requirements,Registration, Licenses, & Permits,Tax Credits","","Competitive Analysis,Feasibility Studies,Locating Foreign Distributors,Market Plan Development and Training,Website Development","",Demographically Based,"","","","","","Biosciences Services and Manufacturing,Energy & Utilities,High Tech Services & Manufacturing,Management,Not for Profit,Real Estate,Tourism","Asian,LGBTQ,Veteran"
"Legal Services,Marketing/Sales,Networking,Mentoring/Counseling","","","","Contract Review,Forming a Business,Insurance Requirements,Registration, Licenses, & Permits","","Competitive Analysis,E-Commerce/Internet Marketing,Graphic Design,Import/Export Certification and Licensing,Market Research,Obtaining Corporate Contracts,Selling to Foreign Governments and Businesses,Student Research/Marketing Projects,Trade Education and Training,Website Development","","Demographically Based,Geographically Based","","","","","","Agriculture,Arts,Energy & Utilities,Health & Childcare,Information Technology,Management,Not for Profit,Real Estate,Retail,Transportation & Warehousing","Woman,Ex-Convict"
"Legal Services,Marketing/Sales,Networking,Mentoring/Counseling","","","","Contract Review,Forming a Business,Lease Review","","International Trade Training,Locating Foreign Distributors,Networking/Exploring Exporting,Trade Education and Training,Website Development",One-to-One Counseling,Industry Specific,"","","","","","Biosciences Services and Manufacturing,Construction,Fiance & Insurance,High Tech Services & Manufacturing,Not for Profit,Personal Services,Professional Services,Restaurant & Hotel,Retail","African American,Immigrant,Other,Ex-Convict,NOT TARGETED"
"Legal Services,Marketing/Sales,Networking,Mentoring/Counseling","","","","Contract Review,Forming a Business,International Regulatory Compliance,State and Federal Tax Training and Registration","","Competitive Analysis,Feasibility Studies,Identification/Research of Foreign Markets,International Trade Training,Locating Foreign Distributors,Market Research,Networking/Exploring Exporting,Obtaining Government Contracts,Selling to Foreign Governments and Businesses,Trade Education and Training","One-to-One Counseling,Peer Mentoring",Industry Specific,"","","","","","Education,Energy & Utilities,Manufacturing,Personal Services,Transportation & Warehousing","African American,Immigrant,Native American,Other,Veteran,NOT TARGETED"
"Legal Services,Marketing/Sales,Networking,Mentoring/Counseling","","","","Patent, Trademark, & Copyright Information,Registration, Licenses, & Permits","","Bid Matching and Preparation,Call Center Services,Competitive Analysis,Feasibility Studies,HUBZone Certification,Market Research,Subcontracting Opportunities,Trade Education and Training","",Industry Specific,"","","","","","Agriculture,Arts,Energy & Utilities,Management,Manufacturing,Personal Services","Hispanic,Native American,Veteran,Ex-Convict"
"Legal Services,Marketing/Sales,Networking,Mentoring/Counseling","","","","Government Requirements,Lease Review,Tax Credits","","HUBZone Certification,Import/Export Certification and Licensing,Student Research/Marketing Projects,Subcontracting Opportunities","","Geographically Based,Industry Specific","","","","","","Education,Energy & Utilities,Fiance & Insurance,Management,Other Services,Real Estate,Retail","Asian,Native American,Veteran,Woman"
"Legal Services,Marketing/Sales,Networking,Mentoring/Counseling","","","","Forming a Business,Lease Review,Registration, Licenses, & Permits,Tax Credits","","E-Commerce/Internet Marketing,Feasibility Studies,Trade Education and Training",Formal Mentoring Programs,"","","","","","","Education,Fiance & Insurance,High Tech Services & Manufacturing,Not for Profit,Transportation & Warehousing","African American,Asian,Other"
"Legal Services,Marketing/Sales,Networking,Mentoring/Counseling","","","","Environmental Compliance,Forming a Business,Insurance Requirements,Lease Review,Tax Credits","","Bid Matching and Preparation,Import/Export Certification and Licensing,International Trade Training,Locating Foreign Distributors,Market Research,Obtaining Corporate Contracts,Selling to Foreign Governments and Businesses",Formal Mentoring Programs,Small Business/General,"","","","","","Agriculture,Arts,Energy & Utilities,Fiance & Insurance,Health & Childcare,Management,Other Services,Retail","Asian,Hispanic,Immigrant,Veteran,Woman"
"Legal Services,Marketing/Sales,Networking,Mentoring/Counseling","","","","Contract Review,Forming a Business,International Regulatory Compliance","","Locating Foreign Distributors,Obtaining Corporate Contracts,Student Research/Marketing Projects,Website Development",Formal Mentoring Programs,"Demographically Based,Small Business/General","","","","","","Biosciences Services and Manufacturing,Construction,Health & Childcare,High Tech Services & Manufacturing,Management","LGBTQ,Native American,Ex-Convict"
"Legal Services,Marketing/Sales,Networking,Mentoring/Counseling","","","","Contract Review,Lease Review,Patent, Trademark, & Copyright Information","","Bid Matching and Preparation,Feasibility Studies,Market Plan Development and Training,Obtaining Corporate Contracts,Selling to Foreign Governments and Businesses,Student Research/Marketing Projects","","","","","","","","Arts,Education,Energy & Utilities,High Tech Services & Manufacturing,Management,Manufacturing,Not for Profit,Restaurant & Hotel,Retail,Tourism,Wholesale","Asian,Immigrant,LGBTQ,Woman,Ex-Convict"
"Legal Services,Marketing/Sales,Networking,Mentoring/Counseling","","","","Environmental Compliance,Government Requirements,Registration, Licenses, & Permits,Tax Credits","","Bid Matching and Preparation,Graphic Design,Identification/Research of Foreign Markets,Obtaining Corporate Contracts,Selling to Foreign Governments and Businesses","","","","","","","","Agriculture,Biosciences Services and Manufacturing,Management,Not for Profit,Personal Services,Real Estate","African American,Native American,Ex-Convict,NOT TARGETED"
"Legal Services,Marketing/Sales,Networking,Mentoring/Counseling","","","","Environmental Compliance,Forming a Business,Tax Credits","","Call Center Services,Competitive Analysis,E-Commerce/Internet Marketing,Feasibility Studies,International Trade Training,Market Research,Obtaining Corporate Contracts,Student Research/Marketing Projects,Website Development","",Industry Specific,"","","","","","Arts,Education,Health & Childcare,High Tech Services & Manufacturing,Manufacturing,Other Services,Restaurant & Hotel,Tourism","Immigrant,LGBTQ,Native American,Veteran,Ex-Convict"
"Legal Services,Marketing/Sales,Networking,Mentoring/Counseling","","","","Forming a Business,Government Requirements,Lease Review,Patent, Trademark, & Copyright Information","","E-Commerce/Internet Marketing,International Trade Training,Locating Foreign Distributors,Obtaining Government Contracts,Selling to Foreign Governments and Businesses,Trade Education and Training,Website Development","One-to-One Counseling,Peer Mentoring","Demographically Based,Networking/Exploring Exporting","","","","","","Agriculture,Arts,Biosciences Services and Manufacturing,Education,High Tech Services & Manufacturing,Information Technology,Manufacturing","Asian,Immigrant,Native American,Other"
